,Company Size,Revenue,Geo Location,Industry,Company Name,Street Address,City,Postal Code,Country/Region,Phone Number,fit_score,fit_score_rank
0,174.5,5000000,NY,Finance,"New Mountain Capital, L.L.C.",787 7Th Ave #49,New York,10019,United States,(212) 720-0300,0,21
1,7499.5,22000000,TN,Healthcare and Pharmaceuticals,"Surgery Partners, Inc.",310 Seven Springs Way Suite 500,Nashville,37027,United States,(615) 234-5900,0,21
2,7499.5,110000000,IL,Finance,"Guaranteed Rate, Inc.",3940 N Ravenswood Ave,Chicago,60613,United States,(773) 290-0505,0,21
3,374.5,8000000,CA,Telecommunications,"Truconnect Mobile, Llc",1510 E Florence Ave,Los Angeles,90001,United States,(323) 776-9880,0,21
4,10000,44000000,CO,Food and Beverage,"Nestle Purina Petcare Global Resources, Inc.",900 Long Ridge Rd Building 2,Stamford,6902,United States,(203) 629-7243,0,21
5,7499.5,10000000,TX,Healthcare and Pharmaceuticals,Children's Health Clinical Operations,1935 Medical District Dr,Dallas,75235,United States,(214) 456-7000,0,21
6,374.5,15000000,FL,Finance,"Tradestation Group, Inc.",8050 Sw 10Th St,Plantation,33324,United States,(954) 652-7000,0,21
7,10000,20000000,CO,Consumer Goods,Hunter Douglas Inc.,9046 W Bowles Ave,Littleton,80123,United States,(303) 972-9393,0,21
8,10000,25000000,TX,Healthcare and Pharmaceuticals,Memorial Hermann Healthcare System,1431 Studemont St,Houston,77007,United States,(346) 701-3800,0,21
9,10000,30000000,TX,Insurance,Usaa Life Insurance Company,9800 Fredericksburg Rd,San Antonio,78288,United States,(210) 531-8722,0,21
10,749.5,35000000,TN,Business Services and Consulting,Energysolutions,1009 Commerce Park Drive,Oak Ridge,37830,United States,(801) 649-2000,0,21
11,749.5,40000000,FL,Retail and Wholesale,Gemaire Distributors,2151 West Hillsboro Boulevard,Deerfield Beach,33442,United States,(954) 246-2665,0,21
12,749.5,45000000,FL,Manufacturing,Kane's Furniture,15100 Tamiami Trl,Naples,34110,United States,(727) 545-9555,0,21
