Company Size,Revenue,Geo Location,Industry,Company Name,Street Address,City,Postal Code,Country/Region,Phone Number
100 - 249,"$5,000,000 ",NY,Finance,"New Mountain Capital, L.L.C.",787 7Th Ave #49,New York,10019,United States,(212) 720-0300
5000 - 9999,"$22,000,000 ",TN,Healthcare and Pharmaceuticals,"Surgery Partners, Inc.",310 Seven Springs Way Suite 500,Nashville,37027,United States,(615) 234-5900
5000 - 9999,"$110,000,000 ",IL,Finance,"Guaranteed Rate, Inc.",3940 N Ravenswood Ave,Chicago,60613,United States,(773) 290-0505
250 - 499,"$8,000,000 ",CA,Telecommunications,"Truconnect Mobile, Llc",1510 E Florence Ave,Los Angeles,90001,United States,(323) 776-9880
10000,"$44,000,000 ",CO,Food and Beverage,"Nestle Purina Petcare Global Resources, Inc.",900 Long Ridge Rd Building 2,Stamford,6902,United States,(203) 629-7243
5000 - 9999,"$10,000,000 ",TX,Healthcare and Pharmaceuticals,Children's Health Clinical Operations,1935 Medical District Dr,Dallas,75235,United States,(214) 456-7000
250 - 499,"$15,000,000 ",FL,Finance,"Tradestation Group, Inc.",8050 Sw 10Th St,Plantation,33324,United States,(954) 652-7000
10000,"$20,000,000 ",CO,Consumer Goods,Hunter Douglas Inc.,9046 W Bowles Ave,Littleton,80123,United States,(303) 972-9393
10000,"$25,000,000 ",TX,Healthcare and Pharmaceuticals,Memorial Hermann Healthcare System,1431 Studemont St,Houston,77007,United States,(346) 701-3800
10000,"$30,000,000 ",TX,Insurance,Usaa Life Insurance Company,9800 Fredericksburg Rd,San Antonio,78288,United States,(210) 531-8722
500 - 999,"$35,000,000 ",TN,Business Services and Consulting,Energysolutions,1009 Commerce Park Drive,Oak Ridge,37830,United States,(801) 649-2000
500 - 999,"$40,000,000 ",FL,Retail and Wholesale,Gemaire Distributors,2151 West Hillsboro Boulevard,Deerfield Beach,33442,United States,(954) 246-2665
500 - 999,"$45,000,000 ",FL,Manufacturing,Kane's Furniture,15100 Tamiami Trl,Naples,34110,United States,(727) 545-9555
